HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
HomeTeam,HomeScore,HomeSOG,Outcome,AwayTeam,AwayScore,AwaySOG,Outcome
Bruins,5,33,True,Canucks,2,31,False
Rangers,4,27,True,Coyotes,1,32,False
Lightning,6,35,True,Capitals,3,22,False
Kraken,2,21,False,Jets,3,30,True
Senators,2,38,False,Islanders,4,35,True
Blackhawks,0,27,False,Hurricanes,3,32,True
Flames,6,30,True,Kings,5,29,False
Avalanche,2,47,False,Blues,3,39,True
Lightning,5,38,True,Stars,4,32,False
Canadiens,1,26,False,Devils,5,39,True
Penguins,2,37,False,Maple Leafs,5,33,True
Sabres,4,32,False,Canucks,5,32,True
Panthers,5,43,True,Capitals,2,43,False
Blue Jackets,5,33,True,Flyers,4,37,False
Predators,2,25,True,Wild,1,33,False
Ducks,3,30,True,Red Wings,2,33,False
Golden Knights,2,26,False,Sharks,5,29,True
Senators,4,40,True,Sabres,1,30,False
Blackhawks,2,27,False,Blues,5,35,True
Oilers,1,23,False,Kings,3,32,True
Lightning,4,24,True,Flames,1,40,False
Hurricanes,2,48,False,Avalanche,3,15,True
Panthers,4,44,False,Stars,6,29,True
Blue Jackets,6,29,True,Canadiens,4,42,False
Maple Leafs,2,27,False,Devils,3,33,True
Bruins,4,32,True,Flyers,1,23,False
Jets,3,32,True,Ducks,2,31,False
Predators,5,31,True,Islanders,4,33,False
Wild,4,23,False,Penguins,6,32,True
Blues,5,24,True,Capitals,4,51,False
Golden Knights,4,39,True,Coyotes,1,26,False
Kraken,3,32,True,Rangers,2,30,False
Sharks,4,25,False,Red Wings,7,21,True
Canucks,4,25,True,Kings,1,38,False
Senators,1,26,False,Devils,5,36,True
Panthers,4,35,False,Flames,5,35,True
Maple Leafs,5,23,True,Sabres,2,34,False
Bruins,6,43,True,Blackhawks,1,18,False
Capitals,0,32,False,Avalanche,4,29,True
Blue Jackets,1,28,False,Red Wings,6,37,True
Canadiens,5,32,True,Flyers,4,29,False
Jets,0,32,False,Penguins,3,32,True
Blues,6,34,True,Ducks,2,32,False
Wild,2,21,True,Hurricanes,1,21,False
Stars,5,35,True,Islanders,2,29,False
Predators,2,32,False,Lightning,3,39,True
Kraken,3,29,True,Kings,2,29,False
Oilers,4,23,True,Golden Knights,3,34,False
Sharks,1,23,False,Rangers,2,43,True
Blue Jackets,5,23,True,Panthers,3,50,False
Blackhawks,3,32,False,Penguins,5,25,True
Lightning,3,35,False,Bruins,5,29,True
Flyers,2,25,False,Flames,5,30,True
Devils,5,28,True,Oilers,2,30,False
Jets,4,23,True,Hurricanes,3,27,False
Maple Leafs,2,32,False,Islanders,3,24,True
Blues,3,27,True,Ducks,1,28,False
Predators,4,45,True,Coyotes,3,27,False
Stars,2,24,False,Avalanche,3,35,True
Sharks,5,31,True,Senators,1,38,False
Canucks,4,29,False,Golden Knights,5,38,True
Canadiens,2,31,False,Sabres,7,38,True
Kings,3,38,False,Rangers,5,25,True
Hurricanes,0,36,False,Coyotes,4,27,True
Panthers,5,31,True,Bruins,2,39,False
Penguins,2,39,True,Flames,1,34,False
Blue Jackets,1,31,False,Canadiens,3,29,True
Sabres,6,32,True,Blues,2,36,False
Devils,1,35,False,Maple Leafs,2,20,True
Wild,6,39,True,Jets,1,29,False
Red Wings,3,29,True,Predators,0,26,False
Islanders,3,31,True,Oilers,0,49,False
Capitals,3,32,True,Flyers,2,23,False
Stars,6,39,True,Blackhawks,4,31,False
Ducks,3,22,True,Rangers,2,43,False
Golden Knights,4,36,True,Senators,1,40,False
Kraken,8,27,True,Sharks,5,26,False
Avalanche,3,36,False,Canucks,4,25,True
Bruins,3,41,True,Hurricanes,2,36,False
Capitals,3,25,True,Flames,0,32,False
Blackhawks,2,32,False,Canadiens,3,23,True
Wild,3,28,False,Maple Leafs,4,28,True
Ducks,1,32,False,Senators,5,33,True
Flyers,1,30,False,Penguins,4,29,True
Red Wings,4,36,True,Coyotes,3,24,False
Blue Jackets,2,26,False,Islanders,3,24,True
Sabres,1,34,False,Devils,3,44,True
Lightning,5,27,True,Blues,2,27,False
Golden Knights,2,22,False,Kraken,4,28,True
Stars,4,41,False,Jets,5,28,True
Sharks,2,31,False,Kings,5,29,True
Rangers,3,23,False,Oilers,4,32,True
Hurricanes,3,33,True,Flames,2,20,False
Panthers,4,37,False,Blues,5,37,True
Penguins,1,26,False,Maple Leafs,4,41,True
Devils,5,29,True,Capitals,1,38,False
Islanders,5,23,True,Flyers,2,28,False
Avalanche,4,36,True,Stars,1,42,False
Golden Knights,1,27,False,Canucks,5,36,True
Wild,4,29,True,Coyotes,3,23,False
Blackhawks,2,25,False,Jets,7,44,True
Ducks,4,29,False,Kraken,5,25,True
Sharks,3,35,False,Canucks,4,20,True
Kings,2,27,False,Senators,3,39,True
Rangers,3,38,False,Devils,5,38,True
Sabres,5,37,False,Lightning,6,25,True
Red Wings,2,44,False,Maple Leafs,4,25,True
Blue Jackets,2,28,False,Golden Knights,3,36,True
Blues,1,24,False,Stars,4,24,True
Oilers,4,40,True,Panthers,3,28,False
Penguins,2,32,False,Hurricanes,3,39,True
Canadiens,0,28,False,Sharks,4,24,True
Bruins,3,26,True,Lightning,1,28,False
Flyers,3,33,True,Islanders,1,24,False
Predators,2,41,True,Ducks,1,35,False
Jets,5,23,True,Avalanche,0,40,False
Flames,6,23,True,Panthers,2,33,False
Canucks,1,32,False,Capitals,5,28,True
Kings,8,35,False,Kraken,9,30,True
Red Wings,4,45,False,Sabres,5,34,True
Senators,1,35,False,Rangers,3,36,True
Maple Leafs,3,32,True,Sharks,1,24,False
Blackhawks,4,25,False,Oilers,5,41,True
Sabres,4,28,False,Avalanche,6,34,True
Devils,3,28,False,Predators,4,24,True
Flyers,1,22,False,Lightning,4,27,True
Penguins,4,47,True,Golden Knights,3,37,False
Blues,4,26,False,Hurricanes,6,36,True
Wild,5,30,True,Oilers,3,21,False
Stars,5,41,True,Ducks,0,31,False
Flames,1,46,False,Canadiens,2,19,True
Canucks,1,33,False,Panthers,5,32,True
Kraken,3,25,True,Capitals,2,23,False
Kings,5,32,True,Coyotes,3,21,False
Rangers,2,27,False,Senators,3,37,True
Islanders,1,49,False,Predators,4,23,True
Jets,1,38,False,Blue Jackets,4,26,True
Wild,5,49,True,Ducks,4,33,False
Bruins,5,40,True,Avalanche,1,25,False
Oilers,5,22,True,Canadiens,3,33,False
Flyers,2,33,False,Devils,3,18,True
Senators,5,39,True,Sharks,2,37,False
Penguins,6,38,True,Blues,2,28,False
Lightning,4,33,True,Maple Leafs,3,39,False
Red Wings,1,25,False,Golden Knights,4,25,True
Rangers,2,28,False,Blackhawks,5,21,True
Canucks,3,32,True,Coyotes,2,23,False
Kraken,1,36,False,Panthers,5,28,True
Flames,5,36,True,Capitals,2,29,False
Kings,2,33,False,Hurricanes,4,31,True
Jets,5,40,True,Ducks,2,30,False
Stars,5,35,False,Wild,6,31,True
Blue Jackets,2,34,False,Red Wings,4,35,True
Sabres,6,38,True,Sharks,3,29,False
Islanders,3,40,True,Blackhawks,0,21,False
Flyers,5,34,True,Avalanche,3,32,False
Rangers,6,24,True,Blues,4,29,False
Bruins,3,43,False,Golden Knights,4,24,True
Oilers,2,30,False,Capitals,3,50,True
Flames,3,27,True,Coyotes,2,20,False
Canucks,7,32,True,Canadiens,6,26,False
Devils,3,29,True,Blackhawks,0,24,False
Penguins,4,34,True,Blue Jackets,1,39,False
Lightning,2,46,False,Red Wings,4,26,True
Senators,2,33,False,Kings,5,28,True
Islanders,4,40,False,Blues,7,28,True
Jets,5,31,True,Panthers,2,41,False
Stars,0,44,False,Maple Leafs,4,29,True
Ducks,4,30,True,Hurricanes,3,37,False
Kraken,2,33,False,Canadiens,4,16,True
Flyers,1,30,False,Capitals,4,27,True
Blue Jackets,4,24,False,Sabres,9,30,True
Flames,5,27,True,Wild,3,28,False
Avalanche,0,23,False,Bruins,4,37,True
Oilers,8,35,True,Coyotes,2,18,False
Golden Knights,1,26,False,Rangers,5,37,True
Sharks,5,39,False,Canucks,6,27,True
Maple Leafs,5,41,True,Kings,0,29,False
Lightning,5,33,True,Predators,2,36,False
Panthers,5,41,True,Red Wings,1,20,False
Blues,2,31,False,Jets,5,20,True
Stars,4,32,True,Senators,3,31,False
Blue Jackets,3,27,True,Flames,1,32,False
Devils,4,29,False,Islanders,6,32,True
Sabres,3,31,False,Penguins,4,33,True
Capitals,4,38,True,Kraken,1,26,False
Blackhawks,1,23,False,Jets,3,32,True
Oilers,5,38,True,Wild,2,44,False
Avalanche,1,42,False,Rangers,2,29,True
